Москва;32;174473
"Омская область";25;182127
Санкт-Петербург;21;114714
"Московская область";11;28653
"Тюменская область";9;18190
"Новосибирская область";9;55199
"Краснодарский край";9;45565
"Псковская область";5;25976
"Ханты-Мансийский автономный округ";4;16982
"Ростовская область";4;11525
"Республика Северная Осетия-Алания";3;36486
"Республика Татарстан";3;23249
"Нижегородская область";3;19048
"Волгоградская область";3;8278
"Липецкая область";3;16209
"Кемеровская область";3;1752.5
"Ленинградская область";2;9352.5
"Амурская область";2;14390
"Красноярский край";2;20085
"Архангельская область";2;2365
"Иркутская область";2;6677
"Чувашская Республика";2;3787.5
"Алтайский край";2;3463
"Самарская область";2;3670
"Кабардино-Балкарская Республика";1;3880
"Пензенская область";1;1636
"Удмуртская Республика";1;3585
"Вологодская область";1;2125
"Калужская область";1;8283
"Ямало-Ненецкий автономный округ";1;4061
Крым;1;22340
"Камчатский край";1;3485
"Республика Карелия";1;1670
"Ставропольский край";1;1110
"Тверская область";1;2000
"Астраханская область";1;13304.96
"Мурманская область";1;22000
"Курганская область";1;1260
"Челябинская область";1;3124
